format	definitions	instances	example
int32	233	3386	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
int64	171	2192	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
date-time	119	2874	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
double	110	735	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
byte	56	212	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
float	55	1151	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
google-datetime	38	190	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
uint64	37	280	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
uint32	30	177	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
date	21	196	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
duration	14	142	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
google-duration	13	28	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
uuid	11	453	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
uri	10	143	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
email	8	31	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
google-fieldmask	8	26	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
password	8	79	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
string	8	31	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
url	7	17	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
date-time-rfc1123	5	825	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
int	5	5	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
integer	4	26	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
date-format	2	10	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
dateTime	2	10	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
ipv4	2	5	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
CVE-YYYY-NNNN	1	2	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
Integer	1	1	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
Standard Thumbnail	1	1	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
Y-m-d	1	2	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
YYYY	1	1	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
bin	1	2	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
binary	1	1	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
cisco-sa-XXX	1	2	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
command separated list	1	1	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
countrycode	1	3	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
datetime	1	2	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
decimal	1	2	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
enum	1	6	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
extid	1	4	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
float32	1	3	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
google	1	2	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
hostname	1	2	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
id64	1	2	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
json	1	1	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
locale	1	8	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
long	1	1	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
number	1	2	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
timezone	1	3	[swagger.yaml](http://www.ritc.io/openapi/ritc.swagger.json)
